,BLR,Saswad,BLR,Saswad,ACPL,BLR,Saswad,ACPL,BLR,Saswad,BLR,Saswad,ACPL,BLR,Saswad,ACPL,BLR,Saswad,BLR,Saswad,BLR,Saswad,BLR,Saswad,BLR,Saswad,BLR,Saswad,ACPL,BLR,Saswad,BLR,Saswad,BLR,Saswad
90) PADRA,15300,NA,16200,NA,11000,17200,NA,13000,18000,NA,18900,NA,17000,20700,NA,20000,NA,NA,NA,NA,20700,NA,27900,NA,NA,NA,NA,NA,26000,30600,NA,36000,NA,40500,NA
91) VATVA,15300,NA,16200,NA,13250,17200,17000,14500,18000,19000,18900,21000,18500,20700,23000,21000,NA,25000,NA,30000,24300,NA,30600,NA,NA,NA,NA,30000,36500,30600,NA,36000,NA,54000,NA
92) ASLALI,15300,NA,16200,NA,12500,17200,17000,14500,18000,19000,18900,21000,17500,20700,23000,21000,NA,25000,NA,30000,24300,NA,30600,NA,NA,NA,NA,30000,35500,30600,NA,36000,NA,54000,NA
93) SANAND ,15300,NA,16200,NA,13250,17200,17000,14500,18000,19000,18900,21000,18500,20700,23000,21000,NA,25000,NA,30000,24300,NA,30600,NA,NA,NA,NA,30000,36500,30600,NA,36000,NA,54000,NA
94) GANDHINAGAR ,15300,NA,16200,NA,13250,17200,NA,14500,18000,NA,18900,NA,18500,20700,NA,21000,NA,NA,NA,NA,24300,NA,30600,NA,NA,NA,NA,NA,36500,30600,NA,36000,NA,54000,NA
95) SANTEJ,15300,NA,16200,NA,13250,17200,NA,14500,18000,NA,18900,NA,18500,20700,NA,21000,NA,NA,NA,NA,24300,NA,30600,NA,NA,NA,NA,NA,36500,30600,NA,36000,NA,54000,NA
96) ODHAV,15300,NA,16200,NA,13250,17200,NA,14500,18000,NA,18900,NA,18500,21600,NA,21000,NA,NA,NA,NA,24300,NA,30600,NA,NA,NA,NA,NA,36500,30600,NA,36000,NA,54000,NA
97) SHAPAR,21600,NA,22500,NA,17000,23400,NA,21500,25200,NA,27900,NA,22500,30600,NA,30000,NA,NA,NA,NA,30600,NA,36900,NA,NA,NA,NA,NA,42000,36900,NA,45000,NA,66000,NA
98) MYSORE ,30600,NA,33300,NA,21850,34200,NA,23000,36900,NA,38700,NA,28750,41400,NA,33500,NA,NA,NA,NA,54000,NA,66600,NA,NA,NA,NA,NA,46000,60000,NA,66600,NA,90000,NA
99) YESHWANTPU,30600,NA,33300,NA,21850,34200,NA,23000,36900,NA,38700,NA,28750,41400,NA,33500,NA,NA,NA,NA,54000,NA,66600,NA,NA,NA,NA,NA,46000,60000,NA,66600,NA,90000,NA
100) SURAT ,9900,NA,10800,NA,10000,11700,NA,13000,12600,NA,13500,NA,17000,14400,NA,19500,NA,NA,NA,NA,18900,NA,24300,NA,NA,NA,NA,NA,25000,28000,NA,33300,NA,20700,NA
101) RAJKOT ,19800,NA,20700,NA,17000,21600,NA,21500,23400,NA,25200,NA,22500,27000,NA,30000,NA,NA,NA,NA,30600,NA,36900,NA,NA,NA,NA,NA,42000,36900,NA,45000,NA,66000,NA
102) CHIKALTHANA ,14400,11000,15300,11500,6500,16200,12000,7500,17100,13000,18000,14000,10750,18000,16000,13750,NA,18000,NA,25000,22500,NA,30600,NA,NA,NA,NA,25000,20750,NA,NA,NA,NA,40500,NA
103) SHENDRA,14400,11000,15300,11500,6500,16200,12000,7500,17100,13000,18000,14000,10750,18000,16000,13750,NA,18000,NA,25000,22500,NA,30600,NA,NA,NA,NA,25000,20750,NA,NA,NA,NA,40500,NA
104) WAGHOLI,9900,6000,10800,6500,3750,11700,7000,4500,12600,7500,13500,8000,7000,15300,8500,7750,NA,9000,NA,13000,15300,NA,NA,NA,NA,NA,NA,13000,10350,18900,NA,20700,NA,18000,NA
105) BHOSARI,9900,5000,10800,5500,3500,11700,6500,4250,12600,7500,13500,8500,6250,15300,9500,6750,NA,10500,NA,11500,15300,NA,NA,NA,NA,22000,NA,11500,8500,18900,NA,20700,25000,18000,20000
106) HINJAWADI,9900,5000,10800,5500,3500,11700,6500,4250,12600,7500,13500,8500,6250,15300,9500,6750,NA,10500,NA,11500,15300,NA,NA,NA,NA,22000,NA,11500,8500,18900,NA,20700,25000,18000,20000
107) CHAKAN ,9900,5000,10800,5500,3500,11700,6500,4250,12600,7500,13500,8500,6250,13500,9500,6750,NA,10500,NA,11500,15300,NA,NA,NA,NA,22000,NA,11500,8500,18900,NA,20700,25000,18000,20000
108) PIRANGUT,9900,6000,10800,6500,4000,11700,7000,4500,12600,7500,13500,8000,6500,13500,8500,7000,NA,9000,NA,13000,15300,NA,NA,NA,NA,NA,NA,13000,10350,18900,NA,20700,NA,18000,NA
109) KHOPOLI,7650,NA,8100,NA,3500,9900,NA,4250,10800,NA,11700,NA,6250,12600,NA,6750,NA,NA,NA,NA,15300,NA,NA,NA,NA,NA,NA,NA,8500,18900,NA,20700,NA,18000,NA
110) KARJAT,7650,NA,8100,NA,4250,9900,NA,5000,10800,NA,11700,NA,6500,12600,NA,7000,NA,NA,NA,NA,15300,NA,NA,NA,NA,NA,NA,NA,9250,18900,NA,20700,NA,18000,NA
111) SHIVANE / MAVAL,7650,6000,8100,6500,4250,9900,7000,5000,10800,7500,11700,8000,6500,13599,8500,7000,NA,9000,NA,13000,15300,NA,NA,NA,NA,NA,NA,13000,9250,18900,NA,20700,NA,18000,NA
112) LONAVALA,7650,6000,8100,6500,3500,9900,7000,4250,10800,7500,11700,8000,6250,13600,8500,6750,NA,9000,NA,13000,15300,NA,NA,NA,NA,NA,NA,13000,8500,18900,NA,20700,NA,18000,NA
113) KHANDALA,7650,6000,8100,6500,6000,9900,7000,6500,10800,7500,11700,8000,7750,13600,8500,9000,NA,9000,NA,13000,15300,NA,NA,NA,NA,NA,NA,13000,14500,18900,NA,20700,NA,18000,NA
